year,democrat,republic,other,codecounty
2000,1327,1984,167,20003
2000,3171,3378,351,20005
2000,637,1755,106,20007
2000,3238,7302,415,20009
2000,2211,3852,245,20011
2000,1512,2985,194,20013
2000,6755,13377,870,20015
2000,391,848,78,20017
2000,443,1347,90,20019
2000,3783,5014,333,20021
2000,350,1312,65,20023
2000,292,926,43,20025
2000,951,2998,139,20027
2000,1314,2918,271,20029
2000,1196,2700,144,20031
2000,211,760,35,20033
2000,5535,8080,595,20035
2000,7076,7160,798,20037
2000,424,1255,80,20039
2000,2413,5243,436,20041
2000,1134,2350,165,20043
2000,18249,17062,4527,20045
2000,447,1062,54,20047
2000,402,1080,68,20049
2000,3926,6516,718,20051
2000,825,1845,169,20053
2000,2431,6442,277,20055
2000,2566,6050,301,20057
2000,3321,5925,412,20059
2000,2660,3977,229,20061
2000,296,1122,77,20063
2000,346,1058,70,20065
2000,683,2126,47,20067
2000,482,1631,47,20069
2000,143,628,32,20071
2000,1027,2392,142,20073
2000,264,901,27,20075
2000,869,2076,110,20077
2000,4591,8271,822,20079
2000,263,1323,30,20081
2000,217,835,36,20083
2000,1990,3001,259,20085
2000,3000,4423,454,20087
2000,380,1400,97,20089
2000,79118,129965,8453,20091
2000,320,1084,31,20093
2000,991,2672,145,20095
2000,294,1262,52,20097
2000,3745,4475,318,20099
2000,252,846,35,20101
2000,9733,12583,955,20103
2000,469,1295,126,20105
2000,1587,2513,159,20107
2000,231,1088,78,20109
2000,5190,6652,613,20111
2000,1475,4156,272,20115
2000,1831,3066,218,20117
2000,3272,8501,688,20113
2000,400,1604,49,20119
2000,4554,6611,442,20121
2000,751,2350,165,20123
2000,4770,8496,479,20125
2000,882,1599,160,20127
2000,321,1203,33,20129
2000,1494,3578,218,20131
2000,2588,4014,284,20133
2000,383,1420,73,20135
2000,598,1744,109,20137
2000,2530,3770,313,20139
2000,484,1432,114,20141
2000,631,1977,183,20143
2000,968,1850,122,20145
2000,611,2057,124,20147
2000,2037,4985,709,20149
2000,1314,2885,217,20151
2000,306,1349,85,20153
2000,9025,15179,1226,20155
2000,604,2239,142,20157
2000,1422,2903,195,20159
2000,6188,10672,1393,20161
2000,597,2016,162,20163
2000,505,1235,114,20165
2000,886,2434,162,20167
2000,7487,12412,1628,20169
2000,418,1811,74,20171
2000,62561,93724,7132,20173
2000,1126,3869,101,20175
2000,34818,35894,3661,20177
2000,281,1132,76,20179
2000,681,1894,107,20181
2000,534,1534,116,20183
2000,567,1546,87,20185
2000,215,785,29,20187
2000,345,1714,52,20189
2000,3549,6176,507,20191
2000,807,2822,151,20193
2000,516,1220,101,20195
2000,1025,2182,213,20197
2000,103,737,21,20199
2000,687,2446,134,20201
2000,207,859,24,20203
2000,1186,2748,161,20205
2000,521,974,100,20207
2000,32411,14024,1837,20209
2000,1779,5460,89,21001
2000,1950,4415,64,21003
2000,2902,4909,156,21005
2000,1880,1824,66,21007
2000,4930,8741,173,21009
2000,2087,2303,83,21011
2000,4787,5585,239,21013
2000,9248,22016,720,21015
2000,3048,3881,173,21017
2000,9541,9247,394,21019
2000,3963,6126,237,21021
2000,888,2065,66,21023
2000,2902,2084,87,21025
2000,2595,4763,95,21027
2000,8195,14054,452,21029
2000,1299,3654,57,21031
2000,2223,3161,98,21033
2000,5635,7705,333,21035
2000,12040,20789,1000,21037
2000,1149,1405,39,21039
2000,1601,1818,80,21041
2000,4182,4617,160,21043
2000,1122,4284,63,21045
2000,6778,10787,208,21047
2000,4918,7297,258,21049
2000,1723,4926,70,21051
2000,1032,3224,49,21053
2000,1610,2469,75,21055
2000,736,2220,50,21057
2000,14126,21361,753,21059
2000,1710,3250,35,21061
